Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_502054,STL,502054,2018,136,570,494,136,18,6,21,67,140,6,3,0.275,0.6295180722891566,0.5360443622920519,0.83,0.47229551451187335,0.6208955223880598,0.5167753960857409,0.49222431668237515,0.6263,0.37,0.5866505830317652,0.3933333333333333,30.0,0.030451038986907923,0.5077756833176248
Unknown_500874,STL,500874,2018,152,590,534,163,30,0,17,49,104,2,3,0.305,0.6204819277108434,0.5231053604436231,0.821,0.37730870712401055,0.6477611940298508,0.3564771668219944,0.32893496701225267,0.7339,0.37,0.5866505830317652,0.4,30.0,0.031057399879394036,0.6710650329877474
Unknown_543768,MIL,543768,2018,156,611,519,127,24,1,33,81,114,4,6,0.245,0.5722891566265059,0.5767097966728283,0.833,0.6121372031662269,0.34328358208955223,0.587138863000932,0.35320452403393027,0.6727,0.369,0.5842380377965419,0.4066666666666667,28.0,0.01723174394493692,0.6467954759660697
Unknown_450314,CHC,450314,2018,137,526,461,140,28,3,9,55,61,2,7,0.304,0.6536144578313253,0.4842883548983365,0.811,0.3245382585751979,0.5820895522388061,0.45666356011183595,0.18685202639019793,0.7738,0.369,0.5842380377965419,0.3666666666666667,37.0,0.011458898754558093,0.8131479736098022
Unknown_609275,KC,609275,2018,74,291,275,76,13,3,14,11,77,1,1,0.276,0.4457831325301205,0.5988909426987061,0.804,0.5620052770448548,0.6000000000000002,0.14538676607642123,0.5369934024505184,0.6838,0.369,0.5842380377965419,0.26666666666666666,23.0,0.12548251326371423,0.4630065975494817
Unknown_643217,BOS,643217,2018,153,688,602,173,42,6,16,74,113,3,7,0.287,0.6204819277108434,0.5231053604436231,0.821,0.42216358839050133,0.5761194029850747,0.47064305684995345,0.3004241281809614,0.7209,0.368,0.5814234016887816,0.44,24.0,0.019530840465504976,0.6995758718190386
Unknown_519317,NYY,519317,2018,163,727,638,169,34,1,39,71,218,8,10,0.265,0.5512048192771085,0.6118299445471351,0.846,0.6094986807387862,0.5910447761194031,0.42451071761416587,0.6201696512723845,0.5915,0.368,0.5814234016887816,0.45333333333333337,29.0,0.049407601892229,0.37983034872761534
Unknown_501896,PIT,501896,2018,118,319,286,84,12,2,11,24,73,5,4,0.294,0.5903614457831324,0.5378927911275417,0.819,0.4274406332453826,0.6567164179104478,0.3196644920782852,0.4526390197926485,0.6803,0.366,0.5761962203457981,0.2733333333333333,35.0,0.04888408105932017,0.5473609802073516
Unknown_656941,CHC,656941,2018,137,511,429,102,14,3,26,78,141,1,2,0.238,0.5933734939759036,0.5397412199630316,0.821,0.5778364116094987,0.4597014925373134,0.6803355079217148,0.5636192271442035,0.5675,0.366,0.5761962203457981,0.3533333333333334,25.0,0.024988563297168524,0.43638077285579646
Unknown_443558,SEA,443558,2018,144,591,519,133,18,1,37,55,122,14,3,0.256,0.5542168674698796,0.6192236598890943,0.85,0.6411609498680738,0.3880597014925373,0.40307548928238585,0.3998586239396796,0.6768,0.366,0.5761962203457981,0.3866666666666667,38.0,0.03290451022333772,0.6001413760603205
Unknown_475582,WSH,475582,2018,85,323,288,76,21,2,13,30,55,3,2,0.264,0.5391566265060243,0.5767097966728283,0.824,0.5620052770448548,0.4477611940298507,0.402143522833178,0.3147973609802074,0.7276,0.366,0.5761962203457981,0.2733333333333333,34.0,0.025475532087797827,0.6852026390197925
Unknown_571788,BOS,571788,2018,108,377,331,93,19,3,8,37,76,7,2,0.281,0.6174698795180723,0.4713493530499077,0.792,0.366754617414248,0.6179104477611942,0.42637465051258155,0.38854853911404336,0.6817,0.365,0.5733815842380378,0.29333333333333333,30.0,0.02977036553588968,0.6114514608859567
Unknown_518586,ATL,518586,2018,115,335,308,82,18,2,12,22,89,4,1,0.266,0.49397590361445787,0.5194085027726434,0.777,0.47229551451187335,0.6059701492537314,0.2753960857409133,0.5395852968897267,0.6567,0.365,0.5733815842380378,0.28,29.0,0.06827031296401485,0.4604147031102732
Unknown_553882,CWS,553882,2018,95,322,280,77,14,1,9,38,65,2,0,0.275,0.6265060240963854,0.4713493530499077,0.794,0.3825857519788918,0.5850746268656717,0.5191053122087604,0.3892554194156456,0.6677,0.365,0.5733815842380378,0.2733333333333333,26.0,0.02311150759933344,0.6107445805843545
Unknown_592663,MIA,592663,2018,125,529,477,132,30,3,21,38,104,10,4,0.277,0.5481927710843374,0.5730129390018486,0.825,0.525065963060686,0.5313432835820896,0.3038210624417521,0.37676720075400566,0.7127,0.365,0.5733815842380378,0.36,27.0,0.042992423411107275,0.6232327992459943
Unknown_570256,PIT,570256,2018,130,534,463,117,32,6,23,61,117,3,7,0.253,0.5451807228915663,0.5970425138632165,0.836,0.6200527704485488,0.4507462686567164,0.5013979496738117,0.42978322337417535,0.6573,0.365,0.5733815842380378,0.36,27.0,0.027128686747987053,0.5702167766258248
Unknown_621002,TB,621002,2018,87,340,282,74,16,0,9,43,77,13,2,0.262,0.674698795180723,0.44547134935304994,0.797,0.37730870712401055,0.5791044776119404,0.5587138863000932,0.44721960414703116,0.6088,0.365,0.5733815842380378,0.28,24.0,0.02465021097008946,0.5527803958529689
Unknown_624577,LAD,624577,2018,132,466,422,112,22,1,23,41,93,1,2,0.265,0.5180722891566266,0.5767097966728283,0.816,0.5567282321899736,0.4626865671641791,0.3793103448275862,0.3838360037700283,0.7103,0.364,0.5705669481302773,0.33333333333333337,28.0,0.03389572214777122,0.6161639962299716
Unknown_544369,NYY,544369,2018,139,588,521,139,24,5,27,48,73,7,10,0.267,0.5210843373493976,0.5804066543438078,0.819,0.5593667546174143,0.3761194029850746,0.34948741845293574,0.205937794533459,0.7789,0.364,0.5705669481302773,0.38,28.0,0.019430405235206727,0.7940622054665412
Unknown_465041,PIT,465041,2018,104,404,332,86,15,3,12,51,84,15,4,0.259,0.6626506024096387,0.4750462107208873,0.809,0.4300791556728232,0.5194029850746269,0.5573159366262814,0.4033930254476909,0.6238,0.364,0.5705669481302773,0.30666666666666664,32.0,0.02187988026773563,0.5966069745523093
